Product Name,Shipment,SKU,Qty,Unit cost (CAD),Shipping cost (CAD),Total cost (CAD),Unit cost (HKD),Shipping cost (HKD),Total cost (HKD)
Stedi Tweezers (Curve Point),,MS-15,4,3.31,3.56,16.8,16.7,18,84.8
Stedi Tweezers (Curve Flat),,MS-16,1,3.86,1.04,4.9,19.47,5.25,24.72
Stedi Tweezers (Curve),,MS-17,4,3.86,4.16,19.6,19.47,21,98.88
Model 6mm pen knife set (with 15 carbon steel blades),Air,MS-22,10,5.58,15.02,70.82,28.2,75.88,357.88
Stedi Tungsten Steel Needle,Air,MS-23,16,5.1,21.97,103.57,25.74,110.96,522.8
6mm carbon steel blades,Air,MS-29,5,1.1,1.48,6.98,5.53,7.48,35.13
Stedi Pusher 0.15 mm,Air,MS-33,6,7.87,12.71,59.93,39.73,64.21,302.59
Stedi Pusher 0.2 mm,,MS-34,4,7.96,8.57,40.41,40.19,43.3,204.06
Stedi Pusher Handle (Blue),,MS-39B,2,7.99,4.3,20.28,40.35,21.73,102.43
Stedi Pusher Handle (Green),,MS-39G,1,7.99,2.15,10.14,40.35,10.86,51.21
Stedi Pusher Handle (Orange),,MS-39O,1,7.99,2.15,10.14,40.35,10.86,51.21
Scriber handle (Red),,MS-39R,1,7.99,2.15,10.14,40.35,10.86,51.21
Stedi MS-58 Joint Reinforcement,,MS-58,6,1.37,2.21,10.43,6.95,11.18,52.88
2mm Sponge Sandpaper package 400-600 / 600-800 / 1000-1200,Air,MS-AT1,7,2.84,5.35,25.23,14.36,27.03,127.55
50ml bottles with 0.3mm needle (3 bottles & 3 needles),,MS-B50,1,2.01,0.54,2.55,10.13,2.73,12.86
Adhesive Sandpaper package 20mm x 80mm 400 / 600 / 800 grit,,MS-BT1,1,1.92,0.52,2.44,9.71,2.61,12.32
Adhesive Sandpaper 20mm x 80mm package 400 / 600 / 800 / 1000 / 1200 / 1500 grit,,MS-BT3,2,1.92,1.03,4.87,9.71,5.22,24.64
Carbon Fiber Detail Sanding Plate Set,,MS-D4,1,1.93,0.52,2.45,9.77,2.62,12.39
3mm Sponge Sandpaper package 400 / 600 / 800 grit x 5,,MS-DT1,2,2.84,1.53,7.21,14.36,7.72,36.44
3mm Sponge Sandpaper package 1000 / 1200 / 1500 grit x 5,,MS-DT2,4,2.84,3.06,14.42,14.36,15.45,72.89
Sanding stick 400 / 600 / 800 grit x 2,Air,MS-E1,5,1.8,2.42,11.42,9.08,12.24,57.64
Dspiae Masking Tape - 2mm,,MT-02,1,0.81,0.22,1.03,4.07,1.1,5.17
Dspiae Masking Tape - 3mm,,MT-03,2,0.81,0.44,2.06,4.07,2.2,10.34
Dspiae Masking Tape - 5mm,,MT-05,4,0.81,0.87,4.11,4.07,4.41,20.69
Dspiae Masking Tape - 10mm,,MT-10,1,1.03,0.28,1.31,5.22,1.4,6.62
Dspiae Masking Tape - 20mm,,MT-20,1,1.37,0.37,1.74,6.95,1.86,8.81
Dspiae Model Parts Detacher,Air,PT-MPS,14,3.59,13.53,63.79,18.12,68.34,322.02
XG-002 - Super Black 1 - DSPIAE - 50ml,,XG-002,2,3.69,1.99,9.37,18.63,10.04,47.3
XG-003 - Sci-fi White 1 - DSPIAE - 50ml,,XG-003,1,3.4,0.92,4.32,17.18,4.62,21.8
XG-004 - Sci-fi White 2 - DSPIAE - 50ml,,XG-004,4,3.69,3.97,18.73,18.63,20.07,94.59
XG-005 - Sci-fi White 3 - DSPIAE - 50ml,,XG-005,1,3.4,0.92,4.32,17.18,4.62,21.8
XG-007 - Mecha Dark Grey - DSPIAE - 50ml,,XG-007,3,3.69,2.98,14.05,18.63,15.05,70.94
XG-102 - Mecha Red 2 - DSPIAE - 50ml,,XG-102,1,3.4,0.92,4.32,17.18,4.62,21.8
XG-105 - Rouge Red 1 - DSPIAE - 50ml,,XG-105,1,3.35,0.9,4.25,16.92,4.56,21.48
XG-202 - Orange Yellow 1 - DSPIAE - 50ml,,XG-202,1,3.69,0.99,4.68,18.63,5.02,23.65
